,method,rows,columns,time
15,PredictRF,25,15,143.46411204338074
16,PredictRF,25,15,133.1686246395111
17,PredictRF,25,15,139.4090826511383
18,PredictRF,50,2,105.54837989807129
19,PredictRF,50,2,101.03692412376404
20,PredictRF,50,2,141.683091878891
21,PredictRF,50,4,537.4716527462006
22,PredictRF,50,4,556.5174689292908
23,PredictRF,50,4,212.80546498298645
24,PredictRF,50,6,348.75791931152344
25,PredictRF,50,6,387.37178802490234
26,PredictRF,50,6,397.92137265205383
27,PredictRF,50,8,674.9512465000153
28,PredictRF,50,8,359.67724442481995
29,PredictRF,50,8,354.5854103565216
30,PredictRF,50,10,484.8673732280731
31,PredictRF,50,10,1293.018586397171
32,PredictRF,50,10,1343.6404385566711
33,PredictRF,50,15,728.4948878288269
34,PredictRF,50,15,899.337082862854
35,PredictRF,50,15,891.4515972137451
36,PredictRF,75,2,243.39567804336548
37,PredictRF,75,2,297.16006803512573
38,PredictRF,75,2,303.0458996295929
39,PredictRF,75,4,760.733195066452
40,PredictRF,75,4,845.0663633346558
41,PredictRF,75,4,813.0532312393188
